iteration,gen,bestfitness,time
4.0,54.0,0.39884253499279854,10.844398021697998
4.0,55.0,0.39884253499279854,11.07851505279541
4.0,56.0,0.39884253499279854,11.454452514648438
4.0,57.0,0.39884253499279854,11.36371397972107
4.0,58.0,0.39884253499279854,11.044227838516235
4.0,59.0,0.3988425349927985,11.021296977996826
4.0,60.0,0.3907248433664665,11.016098260879517
4.0,61.0,0.3907248433664665,10.897672891616821
4.0,62.0,0.3889222785147124,10.611531972885132
4.0,63.0,0.3886195276102051,10.818171501159668
4.0,64.0,0.3886195276102051,10.674489974975586
4.0,65.0,0.3885243358153764,10.773138761520386
4.0,66.0,0.38852237333855816,10.521175384521484
4.0,67.0,0.3668986701467994,10.793288469314575
4.0,68.0,0.33661767835654627,10.837484121322632
4.0,69.0,0.33661767835654627,10.39361047744751
4.0,70.0,0.3282727353585663,10.614067554473877
4.0,71.0,0.3281779121243733,10.672034502029419
4.0,72.0,0.3198329671204663,10.697317361831665
4.0,73.0,0.3139160674800299,10.738701820373535
4.0,74.0,0.3118500702789923,11.123749732971191
4.0,75.0,0.3118500702789923,11.0170578956604
4.0,76.0,0.3118500702789923,10.798166513442993
4.0,77.0,0.3118500702789923,10.765829086303711
4.0,78.0,0.3118498318917815,10.973217010498047
4.0,79.0,0.3118476336007734,10.973058462142944
4.0,80.0,0.3067528965941358,10.744673252105713
4.0,81.0,0.30147314034700584,10.677090883255005
4.0,82.0,0.29955901558843984,10.974331378936768
4.0,83.0,0.29955901558843984,10.68675184249878
4.0,84.0,0.28336361255009257,10.724806308746338
4.0,85.0,0.28336361255009257,10.95577073097229
4.0,86.0,0.28320071334970326,10.762492179870605
4.0,87.0,0.2786418004073127,10.618919134140015
4.0,88.0,0.27616757683116716,10.80614948272705
4.0,89.0,0.26098530239077583,10.623446702957153
4.0,90.0,0.25147687666480395,10.890511512756348
4.0,91.0,0.25000553348058724,10.734854221343994
4.0,92.0,0.25000553348058724,10.517971992492676
4.0,93.0,0.25000553348058724,10.74979043006897
4.0,94.0,0.24551729973813494,10.767921924591064
4.0,95.0,0.24551729973813494,10.590596199035645
4.0,96.0,0.2383161601870219,11.130828380584717
4.0,97.0,0.2383161601870219,11.881846904754639
4.0,98.0,0.23670859836052568,10.90881061553955
4.0,99.0,0.23593717873086298,10.882412195205688
4.0,100.0,0.23549650888813972,10.890885829925537
14.0,1.0,2.680073832390665,9.489199876785278
14.0,2.0,2.343894278015715,11.249550580978394
14.0,3.0,2.167803808910265,11.432106971740723
14.0,4.0,2.1330368012831564,10.95013165473938
14.0,5.0,1.8662060774936187,10.628808498382568
14.0,6.0,1.8001741356033956,11.83546757698059
14.0,7.0,1.6725263477316754,11.798781394958496
14.0,8.0,1.669063776059647,11.88967251777649
14.0,9.0,1.6141218134129605,11.279885053634644
14.0,10.0,1.4685818908870039,10.685783624649048
14.0,11.0,1.4677724588792693,10.692049026489258
14.0,12.0,1.4177269062164577,11.935688495635986
14.0,13.0,1.4023842277709202,12.078322410583496
14.0,14.0,1.3882500425890023,10.872351169586182
